date,datatype,station,value,fl_m,fl_q,fl_so,fl_t,units,year,temp
1960-02-29T00:00:00Z,TMIN,GHCND:USC00190535,-56,,,0,2400,celcius_tenths,1960,-5.6
1960-03-01T00:00:00Z,TMAX,GHCND:USC00190535,0,,,0,2400,celcius_tenths,1960,0
1960-03-01T00:00:00Z,TMIN,GHCND:USC00190535,-89,,,0,2400,celcius_tenths,1960,-8.9
1960-03-02T00:00:00Z,TMAX,GHCND:USC00190535,6,,,0,2400,celcius_tenths,1960,0.6
1960-03-02T00:00:00Z,TMIN,GHCND:USC00190535,-100,,,0,2400,celcius_tenths,1960,-10
1960-03-03T00:00:00Z,TMAX,GHCND:USC00190535,-17,,,0,2400,celcius_tenths,1960,-1.7
1960-03-03T00:00:00Z,TMIN,GHCND:USC00190535,-94,,,0,2400,celcius_tenths,1960,-9.4
1960-03-04T00:00:00Z,TMAX,GHCND:USC00190535,-28,,,0,2400,celcius_tenths,1960,-2.8
1960-03-04T00:00:00Z,TMIN,GHCND:USC00190535,-56,,,0,2400,celcius_tenths,1960,-5.6
1960-03-05T00:00:00Z,TMAX,GHCND:USC00190535,17,,,0,2400,celcius_tenths,1960,1.7
1960-03-05T00:00:00Z,TMIN,GHCND:USC00190535,-33,,,0,2400,celcius_tenths,1960,-3.3
1960-03-06T00:00:00Z,TMAX,GHCND:USC00190535,11,,,0,2400,celcius_tenths,1960,1.1
1960-03-06T00:00:00Z,TMIN,GHCND:USC00190535,-56,,,0,2400,celcius_tenths,1960,-5.6
1960-03-07T00:00:00Z,TMAX,GHCND:USC00190535,22,,,0,2400,celcius_tenths,1960,2.2
1960-03-07T00:00:00Z,TMIN,GHCND:USC00190535,-78,,,0,2400,celcius_tenths,1960,-7.8
1960-03-08T00:00:00Z,TMAX,GHCND:USC00190535,17,,,0,2400,celcius_tenths,1960,1.7
1960-03-08T00:00:00Z,TMIN,GHCND:USC00190535,-50,,,0,2400,celcius_tenths,1960,-5
1960-03-09T00:00:00Z,TMAX,GHCND:USC00190535,-6,,,0,2400,celcius_tenths,1960,-0.6
1960-03-09T00:00:00Z,TMIN,GHCND:USC00190535,-72,,,0,2400,celcius_tenths,1960,-7.2
1960-03-10T00:00:00Z,TMAX,GHCND:USC00190535,-17,,,0,2400,celcius_tenths,1960,-1.7
1960-03-10T00:00:00Z,TMIN,GHCND:USC00190535,-150,,,0,2400,celcius_tenths,1960,-15
1960-03-11T00:00:00Z,TMAX,GHCND:USC00190535,-33,,I,0,2400,celcius_tenths,1960,-3.3
1960-03-11T00:00:00Z,TMIN,GHCND:USC00190535,-150,,,0,2400,celcius_tenths,1960,-15
1960-03-12T00:00:00Z,TMAX,GHCND:USC00190535,33,,,0,2400,celcius_tenths,1960,3.3
